date,time,weight,fatPercentage,waterPercentage,musclePercentage,bonePercentage
2025-01-28,,73,,,,
2023-05-22,22:49,77.2,,,,
2023-07-03,17:15,76,,,,
2024-01-13,13:21,77.1,,,,
2024-01-24,13:23,76,,,,
2024-01-26,13:25,76.6,,,,
2024-02-05,13:26,77,,,,
2024-02-13,13:26,77,,,,
2024-04-12,13:24,77.1,,,,
2024-05-01,13:25,78.6,,,,
2024-04-09,13:24,77,,,,
2024-06-09,18:23,76,,,,
2024-06-13,13:26,76.7,,,,
2024-06-18,13:27,76.7,,,,
2024-06-18,08:00,77.6,,,,
2024-06-19,20:12,77.6,,,,
2024-06-19,10:54,76.6,,,,
2024-06-22,13:27,76.7,,,,
2024-06-22,10:54,77.6,,,,
2024-06-27,07:56,76.6,,,,
2024-06-26,08:24,76.3,,,,
2024-06-28,08:17,76,,,,
2024-07-04,08:18,76.7,,,,
2024-07-02,09:08,76.8,,,,
2024-07-05,08:11,76.6,,,,
2024-07-07,11:04,76.3,,,,
2024-07-08,08:26,76.9,,,,
2024-07-06,09:03,76.4,,,,
2024-07-09,08:28,76.3,,,,
2024-07-13,10:29,76,,,,
2024-07-12,08:38,75.5,,,,
2024-07-15,08:52,77,,,,
2024-07-18,09:24,76.6,,,,
2024-07-19,08:46,76,,,,
2024-07-20,12:18,76,,,,
2024-07-25,08:37,75.5,,,,
2024-07-28,01:52,77.2,,,,
2024-07-28,11:34,76.6,,,,
2024-08-07,08:10,76.3,,,,
2024-08-09,08:10,75.5,,,,
2024-08-12,08:23,75.9,,,,
2024-08-10,09:09,75.5,,,,
2024-08-14,08:29,75.2,,,,
2024-08-15,10:12,74.9,,,,
2024-08-16,09:22,75.7,,,,
2024-08-17,18:34,75.7,,,,
2024-08-24,10:24,75.8,,,,
2024-08-30,10:34,75.8,,,,
2024-09-02,19:03,75.6,,,,
2024-09-03,13:03,76,,,,
2024-09-04,08:25,75.5,,,,
2024-09-06,08:45,76.1,,,,
2024-09-13,09:22,75.2,,,,
2024-09-16,09:21,75.5,,,,
2024-09-19,09:26,74.8,,,,
2024-09-25,08:43,74.4,,,,
2024-09-28,07:20,74.2,,,,
2024-09-27,11:08,74.6,,,,
2024-10-03,10:36,73.6,,,,
2024-10-02,08:10,74.3,,,,
2024-10-04,08:43,74.3,,,,
2024-10-10,09:20,75.2,,,,
2024-10-15,10:39,74.7,,,,
2024-10-17,10:51,74.5,,,,
2024-10-16,10:39,74.4,,,,
2024-10-18,09:37,75.1,,,,
2024-10-11,09:20,74.7,,,,
2024-11-18,08:10,73.9,,,,
2024-11-21,08:11,73.5,,,,
2024-11-20,08:10,73.4,,,,
2024-11-19,08:27,73.7,,,,
2024-11-22,08:26,73.5,,,,
2024-11-26,09:16,73.2,,,,
2024-11-27,08:30,74.2,,,,
2024-11-28,19:43,73.3,,,,
2024-12-02,08:24,74.1,,,,
2024-12-03,08:14,73.6,,,,
2024-12-04,08:52,73.7,,,,
2024-12-05,08:15,73.6,,,,
2024-12-09,08:00,74,,,,
2024-12-06,08:04,73.5,,,,
2024-12-10,08:55,73.4,,,,
